                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0287,                 3.8598,                 4.6212,                 2.1949,                0.57051,                0.04862,                0.02493,                0.01135,                0.56307,                0.01307,                0.00868,                0.00302,                 1.9377,                 3.1333,                 3.8321,                 2.3638,              0.0033288,              0.0033288,              0.0033288
                      2,                 1.8623,                 3.4451,                 4.0038,                 2.0575,                0.48367,                0.04502,                0.02723,                0.01207,                0.50053,                0.01777,                0.00987,                0.00333,                 2.0314,                 3.1819,                  3.832,                 2.5465,              0.0066291,              0.0066291,              0.0066291
                      3,                 1.8909,                  3.545,                 4.1195,                 2.1294,                0.00929,                0.21628,                0.01581,                0.00709,                0.65524,                0.00963,                0.00502,                0.00195,                 2.0875,                 3.2393,                 4.0253,                 2.5414,              0.0098965,              0.0098965,              0.0098965
                      4,                   1.91,                 3.6055,                 4.2739,                 2.1777,                0.50394,                0.03803,                 0.0172,                0.00816,                0.59916,                0.01257,                0.00708,                0.00288,                 1.9801,                 3.1461,                 3.9031,                 2.4632,              0.0098515,              0.0098515,              0.0098515
                      5,                  1.856,                 3.5469,                  4.158,                 2.1333,                0.51556,                0.04605,                0.02746,                0.01347,                0.58604,                0.01827,                0.01232,                0.00533,                 1.9986,                 3.1442,                 3.7575,                 2.3861,               0.009802,               0.009802,               0.009802
                      6,                 1.8193,                 3.4986,                 4.0471,                 2.0989,                0.47725,                0.04824,                0.02983,                0.01444,                0.46647,                0.01692,                0.00888,                0.00384,                 1.8375,                 3.0437,                 3.6653,                  2.305,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.7838,                 3.4535,                 3.9608,                 2.0682,                0.48018,                0.06513,                0.04116,                0.01943,                0.46054,                0.02002,                 0.0101,                0.00424,                 1.7972,                   2.95,                 3.4168,                 2.2534,               0.009703,               0.009703,               0.009703
                      8,                 1.7551,                 3.4265,                 3.8973,                 2.0496,                0.51022,                0.06096,                0.03859,                0.01885,                0.53376,                0.02232,                0.01351,                0.00511,                 1.7928,                 3.0145,                 3.6316,                 2.2544,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.7385,                 3.4071,                 3.8294,                 2.0339,                0.46313,                0.07925,                0.04679,                0.02233,                0.48943,                0.02838,                0.01624,                0.00639,                   1.84,                 2.9597,                 3.3829,                 2.2639,               0.009604,               0.009604,               0.009604
                     10,                 1.7277,                 3.3684,                 3.7619,                  2.012,                0.46578,                0.08711,                 0.0557,                0.02643,                0.53682,                0.02881,                0.01872,                0.00758,                 1.7626,                 2.9097,                 3.3382,                 2.1953,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.7067,                  3.315,                 3.6855,                 1.9963,                0.41926,                0.09405,                0.05776,                0.02919,                0.39443,                0.02959,                0.01856,                0.00804,                 1.7466,                 2.8685,                 3.2944,                 2.1974,               0.009505,               0.009505,               0.009505
                     12,                 1.7011,                 3.3417,                 3.6629,                 2.0009,                 0.4588,                0.10597,                0.07182,                  0.036,                0.47154,                0.03622,                0.02182,                0.00856,                 1.6842,                 2.7918,                  3.125,                 2.1286,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.6823,                 3.3131,                 3.6136,                 1.9781,                0.44589,                0.12509,                0.07268,                0.03541,                0.47009,                0.03622,                0.02193,                0.00859,                 1.6914,                 2.8052,                 3.1341,                 2.1474,               0.009406,               0.009406,               0.009406
                     14,                  1.672,                 3.2966,                 3.5465,                 1.9685,                0.34231,                0.12395,                0.07744,                0.03838,                0.34872,                  0.036,                 0.0221,                0.00829,                 1.6819,                  2.781,                 3.0881,                 2.1356,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.6663,                 3.2716,                 3.5363,                  1.965,                0.36954,                0.12588,                 0.0787,                0.03827,                0.42108,                0.03587,                0.02048,                0.00815,                 1.6848,                 2.8135,                 3.1298,                 2.1064,               0.009307,               0.009307,               0.009307
                     16,                 1.6516,                 3.2631,                 3.4795,                 1.9474,                0.28144,                0.13865,                0.09054,                0.04505,                0.30307,                 0.0414,                0.02531,                0.01004,                 1.6412,                 2.7346,                 3.0138,                 2.0787,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.6399,                 3.2429,                 3.4298,                 1.9451,                0.32578,                0.12554,                0.08201,                0.04114,                0.29703,                0.04339,                0.02454,                 0.0103,                 1.6487,                 2.7593,                 3.0886,                 2.1153,               0.009208,               0.009208,               0.009208
                     18,                 1.6269,                 3.2149,                 3.4094,                 1.9396,                0.32272,                0.14301,                0.09755,                 0.0493,                0.34467,                 0.0428,                0.02886,                0.01156,                 1.6119,                 2.7287,                 2.9188,                 2.0803,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.6366,                 3.2256,                 3.3804,                 1.9389,                0.30006,                 0.1464,                0.09486,                0.04861,                0.33349,                0.04779,                0.02952,                0.01239,                 1.6261,                 2.7393,                  2.933,                 2.0703,               0.009109,               0.009109,               0.009109
                     20,                 1.6287,                 3.2174,                  3.375,                 1.9321,                0.34692,                0.15096,                0.10346,                0.05317,                0.38163,                 0.0437,                0.03003,                0.01199,                 1.6169,                 2.7135,                 2.8754,                 2.0681,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.6176,                 3.2201,                  3.339,                 1.9265,                0.34305,                0.16132,                0.10612,                0.05454,                0.35749,                0.04725,                0.02994,                0.01221,                 1.5919,                 2.6808,                 2.8833,                 2.0414,                0.00901,                0.00901,                0.00901
                     22,                 1.6131,                 3.2025,                  3.312,                 1.9255,                0.33355,                0.17114,                 0.1121,                 0.0568,                0.31905,                0.04934,                0.03038,                0.01191,                  1.592,                 2.6621,                 2.8196,                 2.0475,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.6102,                 3.1854,                 3.2728,                 1.9176,                0.31629,                0.17547,                0.10393,                0.05207,                0.33403,                0.04537,                0.02761,                0.01109,                 1.6149,                 2.6953,                 2.8842,                 2.0488,               0.008911,               0.008911,               0.008911
                     24,                 1.6024,                 3.1455,                 3.2395,                 1.9087,                0.31753,                0.18565,                0.12571,                0.06545,                 0.2935,                0.05014,                0.03234,                0.01397,                 1.5538,                 2.6647,                 2.7161,                 2.0092,              0.0088615,              0.0088615,              0.0088615
