                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9922,                 3.9425,                 4.5461,                  2.177,                0.52934,                0.04874,                0.03201,                0.01759,                0.57702,                0.02448,                 0.0144,                0.00593,                 1.9068,                 3.2674,                 3.6089,                 2.3329,              0.0033288,              0.0033288,              0.0033288
                      2,                 1.8485,                 3.5567,                 3.8993,                 2.0454,                 0.4814,                0.06083,                0.03838,                0.01918,                0.48059,                 0.0273,                0.01531,                0.00634,                 2.0439,                  3.252,                 3.6281,                  2.508,              0.0066291,              0.0066291,              0.0066291
                      3,                 1.8671,                 3.6484,                 4.0116,                 2.1018,                0.42086,                0.04068,                0.02003,                0.01026,                0.47203,                 0.0195,                0.00864,                0.00338,                 2.0812,                 3.4315,                 3.9048,                 2.5603,              0.0098965,              0.0098965,              0.0098965
                      4,                 1.8897,                 3.7018,                 4.1504,                 2.1492,                0.48851,                0.04827,                0.02708,                0.01261,                0.47559,                0.02545,                0.01199,                0.00457,                 2.1158,                 3.3035,                 3.8438,                 2.5382,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.8398,                 3.6402,                 4.0223,                 2.1049,                0.38841,                0.06596,                0.03758,                0.01878,                 0.3991,                0.03061,                0.01572,                0.00643,                 1.9839,                 3.2524,                 3.5471,                  2.396,               0.009802,               0.009802,               0.009802
                      6,                 1.8036,                 3.5976,                 3.9208,                 2.0751,                0.47291,                0.07055,                0.04359,                0.02289,                0.48931,                0.03194,                0.01915,                0.00817,                 1.8687,                 3.1889,                 3.5794,                 2.3155,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.7734,                  3.556,                 3.8453,                 2.0494,                0.50094,                0.09558,                0.05501,                0.02792,                0.48055,                0.03837,                0.02289,                0.00923,                 1.8273,                 3.0745,                 3.4143,                 2.2617,               0.009703,               0.009703,               0.009703
                      8,                  1.745,                 3.5224,                 3.7735,                 2.0284,                0.42096,                0.08935,                0.05842,                0.03153,                0.42575,                 0.0368,                0.02426,                0.01043,                 1.7684,                 3.0773,                 3.3493,                 2.2182,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.7202,                 3.4954,                 3.6938,                 2.0133,                0.42499,                0.09643,                0.05558,                0.02831,                 0.4016,                0.03648,                0.02245,                0.00974,                 1.8566,                  3.067,                 3.4076,                 2.2752,               0.009604,               0.009604,               0.009604
                     10,                 1.7147,                 3.4668,                 3.6397,                 1.9977,                0.44246,                0.11628,                0.07733,                0.04006,                0.46452,                0.04553,                0.03001,                0.01205,                 1.7915,                   3.01,                 3.1553,                 2.1983,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.6956,                 3.4129,                  3.562,                 1.9778,                0.43767,                0.12234,                0.07909,                0.04236,                0.42114,                0.04052,                0.02851,                0.01211,                 1.7216,                 2.9729,                 3.1673,                 2.1596,               0.009505,               0.009505,               0.009505
                     12,                 1.6884,                 3.4461,                 3.5424,                 1.9824,                0.42087,                0.13264,                0.09397,                 0.0493,                0.45516,                0.04485,                0.03256,                0.01413,                 1.7016,                 2.9352,                 3.0238,                 2.1467,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.6712,                 3.4174,                 3.4875,                 1.9593,                0.39722,                0.13294,                0.08432,                0.04379,                0.44281,                0.04301,                0.02761,                0.01123,                 1.6921,                 2.9229,                 3.0232,                 2.1236,               0.009406,               0.009406,               0.009406
                     14,                 1.6587,                 3.3939,                 3.4222,                 1.9471,                0.36324,                0.14228,                0.09633,                0.05169,                0.32671,                0.05317,                 0.0361,                0.01527,                 1.6924,                 2.9068,                 2.9386,                  2.134,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.6542,                 3.3805,                 3.4162,                 1.9508,                 0.3558,                0.13668,                0.08943,                0.04745,                0.40131,                0.04407,                0.03195,                0.01337,                 1.6856,                 2.8944,                 3.0326,                 2.1271,               0.009307,               0.009307,               0.009307
                     16,                 1.6389,                 3.3537,                 3.3674,                 1.9316,                0.37977,                 0.1589,                0.10961,                0.05865,                  0.353,                0.05228,                0.03724,                0.01615,                 1.6438,                 2.9058,                 2.9092,                 2.0813,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.6319,                 3.3456,                 3.3235,                 1.9277,                0.34598,                0.14936,                0.10674,                0.05826,                0.35063,                0.05722,                0.03985,                0.01657,                 1.6554,                 2.8958,                 2.9337,                 2.0972,               0.009208,               0.009208,               0.009208
