                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9382,                 4.1053,                  4.588,                 2.1376,                0.53596,                0.04803,                0.03242,                0.01716,                0.56659,                0.02118,                0.01306,                0.00514,                 2.0232,                 3.5206,                 3.6344,                  2.346,              0.0033287,              0.0033287,              0.0033287
                      2,                 1.8135,                 3.7444,                 3.9487,                 2.0185,                0.47079,                0.05697,                0.02776,                0.01315,                0.61404,                  0.013,                0.01204,                0.00425,                 2.1331,                 3.6684,                  3.865,                 2.5036,              0.0066291,              0.0066291,              0.0066291
                      3,                  1.852,                 3.8172,                 4.0628,                 2.0921,                0.53454,                0.03691,                0.01764,                0.00811,                   0.53,                0.01345,                0.00742,                0.00288,                  2.205,                 3.6808,                 4.0638,                 2.6303,              0.0098964,              0.0098964,              0.0098964
                      4,                 1.8793,                 3.9141,                 4.2226,                 2.1303,                0.53564,                0.04006,                0.01979,                0.00946,                0.57608,                0.01606,                 0.0077,                0.00299,                  2.117,                  3.698,                 4.5636,                 2.5112,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.8321,                 3.8555,                  4.141,                 2.0969,                0.49281,                0.05627,                0.03713,                0.02007,                 0.5066,                0.03112,                0.01573,                0.00593,                 1.9535,                 3.5061,                  3.607,                 2.3256,               0.009802,               0.009802,               0.009802
                      6,                 1.7863,                 3.8064,                  4.015,                 2.0642,                0.44466,                0.06203,                0.04108,                0.02112,                 0.4937,                0.03407,                0.01851,                0.00721,                 1.9157,                 3.4682,                  3.601,                 2.3322,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.7577,                 3.7512,                 3.9307,                 2.0404,                0.54305,                0.06987,                0.04517,                0.02321,                0.53515,                0.03325,                0.01973,                0.00727,                 1.8757,                 3.4095,                 3.5026,                 2.2996,               0.009703,               0.009703,               0.009703
                      8,                   1.73,                 3.7344,                 3.8513,                  2.021,                0.45048,                  0.062,                0.04496,                0.02269,                0.43866,                0.02476,                0.01663,                0.00694,                  1.899,                 3.4663,                 3.5711,                 2.2695,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.7164,                 3.7078,                 3.8108,                 2.0057,                0.42972,                 0.0813,                0.05519,                0.02975,                0.41477,                0.04115,                0.02191,                0.00921,                 1.8312,                  3.381,                 3.3909,                 2.2373,               0.009604,               0.009604,               0.009604
                     10,                 1.7014,                 3.6782,                  3.739,                 1.9868,                0.46398,                0.09659,                0.06413,                0.03183,                0.46323,                   0.05,                0.02637,                0.00979,                 1.8841,                 3.3656,                 3.2823,                 2.2446,              0.0095545,              0.0095545,              0.0095545
