                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9909,                  3.943,                 4.5397,                 2.1787,                0.47448,                0.05978,                0.03065,                0.01659,                0.56665,                0.02637,                0.01457,                0.00593,                 1.9201,                 3.2592,                 3.6515,                 2.3602,              0.0033288,              0.0033288,              0.0033288
                      2,                 1.8486,                  3.558,                 3.8882,                 2.0496,                0.51303,                0.05223,                0.03287,                 0.0159,                0.49512,                0.01557,                 0.0085,                0.00401,                  2.029,                 3.4108,                 3.9368,                 2.5088,              0.0066291,              0.0066291,              0.0066291
                      3,                 1.8682,                 3.6505,                 4.0064,                 2.1051,                0.47278,                0.04484,                0.02381,                0.01051,                0.47109,                0.02093,                0.00768,                0.00259,                 2.0236,                 3.3727,                 3.7805,                  2.538,              0.0098965,              0.0098965,              0.0098965
                      4,                 1.8882,                 3.7013,                 4.1563,                   2.15,                0.50497,                0.04991,                 0.0285,                0.01535,                0.50573,                0.02625,                0.01475,                0.00609,                 2.0705,                 3.3214,                  3.831,                 2.4778,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.8465,                 3.6504,                 4.0341,                 2.1089,                0.43239,                0.06405,                0.03853,                0.02007,                 0.4611,                0.02629,                0.01569,                0.00684,                   1.92,                 3.2601,                 3.5944,                 2.3439,               0.009802,               0.009802,               0.009802
                      6,                 1.8084,                 3.6016,                 3.9279,                 2.0763,                0.45971,                0.08824,                0.04817,                0.02497,                0.50266,                0.03589,                0.02035,                 0.0087,                 1.8414,                 3.1588,                 3.5871,                 2.2699,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.7741,                 3.5524,                  3.846,                 2.0487,                0.46073,                0.07801,                0.04707,                0.02217,                0.46954,                0.02619,                0.01474,                0.00572,                 1.8452,                 3.1249,                  3.371,                 2.2864,               0.009703,               0.009703,               0.009703
                      8,                 1.7468,                 3.5218,                 3.7636,                 2.0274,                0.42705,                0.08952,                 0.0586,                0.02971,                0.49066,                0.03746,                0.02346,                0.01006,                 1.7828,                 3.0421,                 3.3465,                 2.2573,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.7246,                 3.5026,                 3.6914,                 2.0138,                0.41876,                 0.0935,                0.06151,                0.03247,                0.44341,                0.04071,                 0.0253,                0.01048,                 1.8363,                 3.0591,                 3.3203,                 2.2629,               0.009604,               0.009604,               0.009604
                     10,                  1.715,                 3.4677,                 3.6294,                 1.9951,                 0.4178,                0.11403,                0.06974,                0.03673,                 0.4595,                0.04773,                0.02883,                0.01227,                  1.773,                 3.0231,                  3.177,                 2.1734,              0.0095545,              0.0095545,              0.0095545
                     11,                  1.697,                 3.4122,                  3.555,                 1.9749,                0.42152,                0.13064,                0.08091,                0.04219,                0.40801,                0.04521,                0.02988,                0.01229,                 1.7104,                 2.9628,                 3.1999,                 2.1394,               0.009505,               0.009505,               0.009505
                     12,                 1.6876,                 3.4429,                 3.5332,                 1.9753,                0.39783,                0.13107,                0.08133,                0.04404,                 0.3839,                 0.0519,                0.03055,                0.01349,                 1.6935,                 2.9326,                 3.1108,                 2.1277,              0.0094555,              0.0094555,              0.0094555
