                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9633,                 4.0962,                 4.6181,                 2.1516,                0.52425,                 0.0504,                0.02768,                0.01486,                0.52878,                0.03289,                0.01429,                0.00555,                 1.9795,                 3.5342,                 3.6652,                 2.3631,              0.0033286,              0.0033286,              0.0033286
                      2,                 1.8295,                 3.7798,                 4.0325,                 2.0301,                0.51221,                0.03598,                0.02111,                0.01087,                0.51188,                0.01188,                0.00719,                0.00286,                 1.9958,                  3.643,                  3.824,                    2.4,               0.006629,               0.006629,               0.006629
                      3,                  1.865,                 3.8473,                 4.1399,                 2.0953,                0.00635,                0.16196,                0.00937,                0.00462,                0.52792,                0.00999,                0.00483,                0.00179,                 2.1964,                 3.8867,                  4.293,                 2.5958,              0.0098964,              0.0098964,              0.0098964
                      4,                 1.8908,                 3.9042,                 4.2501,                 2.1393,                0.11172,                0.09698,                0.01361,                0.00603,                 0.6359,                 0.0132,                0.00554,                 0.0017,                  2.126,                 3.7412,                 4.0293,                 2.5225,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.8437,                  3.861,                 4.1863,                  2.108,                0.55217,                0.02753,                0.02488,                0.01175,                0.54654,                0.01386,                0.00935,                0.00384,                 2.0345,                  3.571,                 3.8382,                 2.4125,               0.009802,               0.009802,               0.009802
                      6,                 1.8133,                 3.8179,                 4.0718,                 2.0661,                0.51646,                0.06566,                0.03717,                0.01812,                0.50693,                0.03103,                0.01464,                 0.0061,                 1.9521,                 3.5071,                 3.6132,                 2.3052,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.7709,                 3.7725,                 3.9863,                 2.0473,                0.45059,                0.06947,                0.03965,                0.01956,                0.44354,                0.03487,                0.01832,                0.00723,                 1.9525,                 3.4798,                 3.5437,                 2.3077,               0.009703,               0.009703,               0.009703
                      8,                 1.7461,                 3.7295,                 3.8966,                 2.0263,                0.45207,                0.08241,                0.04505,                  0.022,                 0.4221,                0.03961,                 0.0177,                0.00726,                 1.8519,                 3.3476,                  3.455,                 2.2512,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.7349,                 3.7124,                 3.8464,                 2.0139,                0.47862,                0.07886,                0.05236,                0.02667,                0.44901,                 0.0349,                0.02056,                0.00886,                 1.8377,                 3.3193,                 3.4668,                 2.2429,               0.009604,               0.009604,               0.009604
                     10,                 1.7154,                 3.6707,                 3.7768,                 1.9961,                0.39673,                0.08376,                0.05758,                0.02857,                0.37252,                0.03544,                0.02265,                0.00874,                  1.859,                  3.351,                 3.3831,                 2.2268,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.6959,                 3.6735,                 3.7083,                 1.9748,                 0.4714,                0.09881,                0.06616,                0.03324,                0.43071,                0.04078,                0.02522,                0.01007,                 1.7819,                  3.302,                 3.2763,                 2.1506,               0.009505,               0.009505,               0.009505
                     12,                 1.6922,                 3.6358,                 3.6676,                 1.9718,                0.42481,                0.08732,                0.06226,                0.03156,                0.42434,                0.04382,                0.02533,                0.01014,                  1.801,                 3.3075,                 3.3215,                 2.1859,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.6717,                 3.6332,                  3.638,                 1.9569,                0.33791,                 0.1109,                0.06245,                  0.031,                0.30861,                0.04431,                0.02307,                0.00915,                 1.8037,                 3.2582,                 3.2662,                  2.183,               0.009406,               0.009406,               0.009406
                     14,                 1.6702,                 3.6107,                 3.6042,                 1.9523,                0.47466,                0.11257,                0.08761,                0.04695,                0.44111,                0.05069,                0.03428,                0.01469,                 1.7313,                 3.2563,                 3.0876,                  2.114,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.6521,                 3.6134,                 3.5315,                 1.9372,                0.36895,                0.12476,                0.08465,                0.04466,                 0.3934,                 0.0446,                0.02819,                0.01189,                 1.7059,                 3.1877,                 3.0321,                 2.0919,               0.009307,               0.009307,               0.009307
                     16,                 1.6405,                 3.5796,                 3.5307,                 1.9395,                0.42737,                0.12209,                0.08552,                0.04378,                0.42611,                0.04604,                0.03254,                0.01257,                 1.7624,                 3.2391,                 3.0911,                 2.1199,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.6306,                 3.5581,                 3.4763,                 1.9242,                0.37207,                0.13224,                0.08996,                0.04634,                0.36682,                0.06192,                0.03475,                0.01421,                 1.7554,                 3.2138,                 3.0534,                 2.1303,               0.009208,               0.009208,               0.009208
                     18,                 1.6253,                 3.5669,                 3.4489,                 1.9206,                0.37719,                0.14115,                 0.0954,                0.04921,                0.36894,                0.05848,                0.03377,                0.01402,                 1.7334,                 3.2114,                 3.0371,                 2.1127,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.6157,                 3.5364,                 3.4204,                 1.9066,                0.42342,                0.14919,                0.10063,                0.05235,                0.40799,                0.06286,                0.03568,                0.01437,                 1.6669,                 3.1278,                 2.9661,                 2.0687,               0.009109,               0.009109,               0.009109
                     20,                 1.6155,                  3.529,                 3.3952,                 1.9086,                0.37683,                0.14836,                0.09893,                0.05087,                0.32762,                0.05556,                0.03438,                0.01369,                  1.707,                 3.1768,                  3.014,                 2.0817,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.6081,                 3.5031,                 3.3751,                  1.902,                0.38341,                  0.158,                0.11336,                0.05857,                0.37004,                0.05714,                0.03649,                0.01553,                 1.6552,                 3.1167,                  2.957,                 2.0397,                0.00901,                0.00901,                0.00901
                     22,                 1.6041,                 3.5202,                  3.365,                 1.8943,                0.32129,                 0.1517,                0.10857,                0.05761,                0.33736,                0.06278,                0.03965,                 0.0168,                 1.6893,                 3.1507,                 2.9309,                 2.0709,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.5881,                 3.4972,                  3.329,                 1.8817,                0.34429,                0.16373,                0.11458,                0.06057,                0.30034,                0.06467,                0.04068,                 0.0166,                 1.6241,                 3.0972,                  2.883,                 2.0269,               0.008911,               0.008911,               0.008911
                     24,                 1.5911,                 3.4675,                 3.2723,                 1.8834,                0.34704,                0.17384,                0.12399,                0.06605,                0.37038,                0.06313,                 0.0423,                0.01726,                 1.6411,                 3.2592,                 2.7978,                  2.034,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.5766,                  3.479,                 3.2706,                 1.8743,                0.27371,                0.16003,                0.11391,                  0.061,                 0.2443,                0.06207,                0.04081,                0.01755,                 1.6151,                 3.0745,                 2.8367,                 2.0072,               0.008812,               0.008812,               0.008812
